Deal - Organization,Deal - Value,Deal - Status,Deal - Stage,Deal - Deal closed on,Deal - Deal created,Deal - Lead Source,Organization - Address,Organization - Num Client A3,Organization - Tipologia Client,CENTROCOSTE3
COL·LEGI IGUALADA,399.00 EUR,Won,Proposal Accepted,2018-07-24 08:39:24,2018-07-20 14:10:08,,"SANT JOSEP, 110-112, IGUALADA",662,Escoles,14110
Col·legi Salesianes Santa Dorotea,"2,909.00 EUR",Won,Proposal Presented,2017-03-17 16:21:19,2017-03-16 10:44:15,,"Salesianes, Carrer de Buïgas, Barcelona, Spain",,Escoles,14110
British School of Barcelona Sitges,0.00 EUR,Lost,Meeting organized,2018-08-24 13:25:36,2017-09-06 16:25:14,,"The British School of Barcelona Sitges, Passeig Isaac Albéniz, Sitges, Spain",670,Escoles,14110
British School of Barcelona Sitges,"5,617.09 EUR",Won,Proposal Presented,2017-09-19 10:03:27,2017-09-19 08:56:46,,"The British School of Barcelona Sitges, Passeig Isaac Albéniz, Sitges, Spain",670,Escoles,14110
FPEVB - COL·LEGI LA IMMACULADA (SABADELL),"4,120.00 EUR",Won,Proposal Presented,2017-07-05 10:42:37,2017-03-07 12:03:11,,"PASSEIG DEL DOS DE MAIG 38, SABADELL",671,Escoles,14110
SANTA MARIA DELS APÒSTOLS,151.25 EUR,Lost,Proposal Presented,2018-02-05 10:29:48,2017-11-06 10:42:15,,"RAMBLA DE PRIM 146-152, BARCELONA",676,Escoles,14110
FUNDACIÓ DOCTOR MASMITJÀ,120.00 EUR,Won,Proposal Presented,2017-03-28 12:02:45,2017-03-20 13:34:22,,"CARRER JOAN MARAGALL 56, GIRONA",698,Escoles,14110
Escola Maria Anna Mogas,285.00 EUR,Won,Proposal Presented,2017-06-07 12:36:56,2017-05-15 09:32:27,,"Escola Concertada Maria Anna Mogas, Carrer de Corró, Granollers, Spain",710,Escoles,14120
Escola Maria Anna Mogas,"2,034.85 EUR",Won,Proposal Presented,2017-07-14 13:23:46,2017-07-13 15:51:27,,"Escola Concertada Maria Anna Mogas, Carrer de Corró, Granollers, Spain",710,Escoles,14110
Escola Maria Anna Mogas,"3,055.95 EUR",Won,Proposal Accepted,2018-07-19 09:30:06,2018-05-02 10:33:45,,"Escola Concertada Maria Anna Mogas, Carrer de Corró, Granollers, Spain",710,Escoles,14110
"OKOLA, ORIENTACIÓN, SALUD, EDUCACIÓN","1,300.00 EUR",Lost,Contact Made,2017-04-10 09:26:07,2017-03-30 13:30:20,,"AVENIDA CERVANTES S/N CASA DE LA CULTURA RODRÍGUEZ MOÑINO, CÁCERES",728,Escoles,14110
FPEVB - JOAQUIMA VEDRUNA TERRASSA,"2,772.72 EUR",Won,Proposal Accepted,2017-05-16 12:29:25,2017-04-06 11:51:37,,"CARRETERA CASTELLAR 398, TERRASSA",546,Escoles,14110
Escola Joaquim Blume,"1,114.24 EUR",Lost,Proposal Accepted,2017-09-13 15:34:44,2017-08-30 15:23:55,,"rda. Bellesguard, 35 08203 Sabadell",741,Escoles,14110
COLEGIO NUESTRA SEÑORA DE LA SALUD - MARISTAS ALGEMESÍ,300.00 EUR,Won,Proposal Accepted,2017-07-17 17:14:18,2017-07-11 15:20:58,,"PARTIDA BERCA S/N, ALGEMESÍ",744,Escoles,14120
COLEGIO NUESTRA SEÑORA DE LA SALUD - MARISTAS ALGEMESÍ,"1,054.47 EUR",Lost,Proposal Presented,2017-11-24 09:53:26,2017-10-23 09:12:04,,"PARTIDA BERCA S/N, ALGEMESÍ",744,Escoles,14110
COLEGIO PÚBLICO ATALAYA DE ATARFE,118.70 EUR,Won,Proposal Presented,2018-06-19 11:52:25,2018-04-25 10:41:10,,"AVENIDA DE LA LIBERTAD S/N, ATARFE",746,Escoles,14110
SAGRADO CORAZÓN HERMANOS CORAZONISTAS,"1,820.00 EUR",Won,Proposal Presented,2017-07-18 09:14:03,2017-06-19 08:46:05,,"CARRER EDUARDO CONDE, 17-23, BARCELONA",786,Escoles,14110
SAGRADO CORAZÓN HERMANOS CORAZONISTAS,570.00 EUR,Won,Proposal Presented,2018-06-25 09:12:47,2018-04-06 16:40:04,,"CARRER EDUARDO CONDE, 17-23, BARCELONA",786,Escoles,14120
COLEGIO PÚBLICO LABASTIDA,826.45 EUR,Lost,Proposal Presented,2017-11-03 11:16:54,2017-05-04 15:47:24,,"CALLE LA FLORIDA, 3, LABASTIDA",787,Escoles,14110
BERARDO BENÍTEZ GARCÍA - TECNOWEB CANARIAS,578.93 EUR,Won,Proposal Presented,2017-10-06 11:15:47,2017-10-06 11:14:59,,"CALLE LA POLKA, EDF, JJ DANIELA A, APT 2, SAN MIGUEL DE ABONA",790,Escoles,14110
INSTITUCIÓ CULTURAL CIC-Escola Thau Barcelona,"2,355.00 EUR",Lost,Proposal Presented,2018-04-24 15:35:30,2017-11-27 15:57:54,,"AVDA.ESPLUGUES, 49-53, BARCELONA",70,Escoles,14130
DELEGACIÓN EN ESPAÑA DE LA FUNDACIÓN BRITISH COUNCIL,"2,000.00 EUR",Lost,Proposal Presented,2017-04-07 16:21:55,2017-03-08 09:59:05,,"PASEO GENERAL MARTÍNEZ CAMPOS 31, MADRID",648,Escoles,14130
INSTITUT INFANTA ISABEL D'ARAGÓ,0.00 EUR,Lost,Meeting organized,2018-08-24 13:26:46,2018-05-08 11:14:37,,"PLAÇA ANGELETA FERRER, 1, BARCELONA",837,Escoles,14110
IES SAULO TORON,735.97 EUR,Won,Proposal Presented,2017-12-05 10:26:33,2017-11-03 09:50:01,,"CALLE INFANTA BENCHARA, 4, GÁLDAR",840,Escoles,14110
FUNDACIÓ EDUCATIVA DOMINIQUES DE L'ENSENYAMENT - COL·LEGI VERGE DEL ROSER,100.00 EUR,Won,Proposal Presented,2017-06-01 09:27:10,2017-05-26 17:14:40,,"PLAÇA DE SANT DOMÈNEC, 1, VALLIRANA",845,Escoles,14120
FUNDACIÓ EDUCATIVA DOMINIQUES DE L'ENSENYAMENT - COL·LEGI VERGE DEL ROSER,380.93 EUR,Won,Proposal Presented,2017-09-18 08:48:31,2017-06-07 11:57:32,,"PLAÇA DE SANT DOMÈNEC, 1, VALLIRANA",845,Escoles,14110
CEIP PEDRO GUTIERREZ,"1,816.93 EUR",Lost,Proposal Presented,2017-11-02 08:51:14,2017-10-11 16:50:40,,"PLAZA DE ESPAÑA S/N, ALCALA DE GUADAIRA",860,Escoles,14110
Hermanas de la Consolación,0.00 EUR,Lost,Contact Made,2017-09-14 16:01:06,2017-04-06 16:50:26,,,,Escoles,14110
Institut Jaume Huguet,"1,904.65 EUR",Won,Proposal Presented,2017-05-19 16:28:22,2017-03-05 16:51:21,,"Carrer de la Creu de Cames, s/n, 43800 Valls, Tarragona",913,Escoles,14110
Institut Can Vilumara,"1,845.77 EUR",Won,Proposal Presented,2017-04-06 17:37:37,2017-03-05 16:50:40,,"Avinguda de Josep Tarradellas i Joan, 153, 08901 Hospitalet de Llobregat (L'), Barcelona",,Escoles,14110
INSTITUT JOAN SALVAT I PAPASSEIT,"1,845.77 EUR",Lost,Proposal Accepted,2017-11-27 09:39:47,2017-03-05 16:50:50,,"Passeig de Salvat Papasseit, 11, 08003 Barcelona",,Escoles,14110
CEIP Joaquín Costa (Alcorcón),679.00 EUR,Lost,Proposal Accepted,2017-07-18 09:14:32,2017-05-15 09:39:37,,"Lugar Parque Grande, 1, 28924 Alcorcón",905,Escoles,14120
FPE VEDRUNA BARCELONA (IMMACULADA),"1,816.34 EUR",Won,Proposal Presented,2017-03-15 12:56:02,2017-03-14 11:12:30,,"C/ DOS DE MAIG,  247-251, BARCELONA",114,Escoles,14110
Col·legi Acesco,"1,547.47 EUR",Won,Proposal Accepted,2017-08-31 08:42:17,2017-06-08 10:48:48,,"Carrer de Bailèn, 6, 08150 Parets del Vallès, Barcelona",951,Escoles,14110
Col·legi Acesco,"2,167.83 EUR",Won,Proposal Accepted,2018-01-11 15:58:29,2017-12-20 09:55:48,,"Carrer de Bailèn, 6, 08150 Parets del Vallès, Barcelona",951,Escoles,14110
Escola Peter Pan,320.34 EUR,Won,Proposal Accepted,2017-09-21 13:20:43,2017-06-26 17:46:25,,"Carrer de la Immaculada, 4, 08017 Barcelona, Spain",974,Escoles,14110
Escola Peter Pan,89.20 EUR,Won,Proposal Accepted,2017-07-11 18:19:57,2017-07-10 18:06:23,,"Carrer de la Immaculada, 4, 08017 Barcelona, Spain",974,Escoles,14110
Escola Peter Pan,815.04 EUR,Won,Proposal Accepted,2017-10-11 18:31:59,2017-10-11 15:49:55,,"Carrer de la Immaculada, 4, 08017 Barcelona, Spain",974,Escoles,14110
IES Almussafes,"2,172.91 EUR",Lost,Proposal Presented,2017-12-14 17:52:49,2017-07-03 17:43:34,,"IES ALMUSSAFES, Avinguda de la Foia, Almussafes, Spain",991,Escoles,14110
Newton College Alicante,0.00 EUR,Lost,New Leads,2018-01-15 17:35:05,2017-05-02 12:32:46,,,,Escoles,14110
Escola Sant Serni,0.00 EUR,Lost,Contact Made,2018-01-15 17:35:56,2017-05-12 11:49:40,,,,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - BELLVITGE,"2,618.27 EUR",Won,Proposal Presented,2017-12-13 11:33:29,2017-11-20 12:46:32,,"Jesuïtes Bellvitge. Centre d'Estudis Joan XXIII, Avinguda Mare de Déu de Bellvitge, L'Hospitalet de Llobregat, Spain",1155,Escoles,14110
FUNDACIÓ JESUÏTES EDUCACIÓ - LLEIDA,"2,618.27 EUR",Won,Proposal Presented,2017-12-13 11:33:44,2017-11-20 12:43:32,,"Jesuïtes Lleida - Col·legi Claver Raimat, Raimat, Spain",1156,Escoles,14110
FUNDACIÓ JESUÏTES - CLOT,"2,618.27 EUR",Won,Proposal Presented,2017-12-13 08:46:47,2017-11-20 12:48:32,,"Escola de Jesuïtes El Clot, Carrer de València, Barcelona, Spain",1157,Escoles,14110
Colegio Los Tilos,"2,068.26 EUR",Won,Proposal Accepted,2017-12-22 13:41:30,2017-11-20 10:34:11,,"Calle el Bosco, Madrid, Spain",1219,Escoles,14110
Colegio Los Tilos,540.00 EUR,Won,Proposal Accepted,2017-12-22 13:41:21,2017-12-19 21:20:27,,"Calle el Bosco, Madrid, Spain",1219,Escoles,14120
CEIP Rafael Altamira,663.71 EUR,Won,Proposal Presented,2018-01-17 12:23:27,2018-01-11 11:28:05,,"Calle Tomás Aznar Domenech, Alicante, Spain",1385,Escoles,14110
CEIP Rafael Altamira,148.54 EUR,Won,Proposal Presented,2018-02-15 17:01:43,2018-02-13 16:25:14,,"Calle Tomás Aznar Domenech, Alicante, Spain",1385,Escoles,14110
PEEKABOO School of English,529.09 EUR,Won,Proposal Presented,2018-05-11 12:35:50,2018-03-27 10:43:44,,"Plaza Europa, 25, Bajo, Gijón, Spain",1666,Escoles,14110
Escola Reixac,796.87 EUR,Won,Proposal Accepted,2018-07-09 08:09:38,2018-07-02 17:18:42,,"Escola Reixac, Carrer Doctor Buxó, Montcada i Reixac, Spain",1807,Escoles,14110
IES Federico García Lorca (Las Rozas),"1,727.95 EUR",Won,Proposal Accepted,2018-06-28 11:35:55,2018-06-15 12:34:53,,"Calle Gimnasio, 1, 28290 Las Rozas, Spain",1809,Escoles,14110
Col·legi Sant Gervasi l'Hospitalet,"1,845.78 EUR",Lost,Proposal Presented,2017-09-04 13:05:51,2017-06-09 16:33:13,,"Carrer Bòbiles, 39, 08905 Hospitalet De Llobregat ( L'), Barcelona",1888,Escoles,14110
Col·legi Sant Gervasi l'Hospitalet,150.00 EUR,Lost,Proposal Presented,2017-11-09 16:20:05,2017-06-22 11:24:29,,"Carrer Bòbiles, 39, 08905 Hospitalet De Llobregat ( L'), Barcelona",1888,Escoles,14120
Col·legi Sant Gervasi l'Hospitalet,"1,086.73 EUR",Lost,Proposal Presented,2018-02-20 09:36:56,2017-11-15 12:47:44,,"Carrer Bòbiles, 39, 08905 Hospitalet De Llobregat ( L'), Barcelona",1888,Escoles,14110
Col·legi Sant Gervasi l'Hospitalet,"20,000.00 EUR",Lost,Proposal Presented,2018-04-10 10:45:56,2018-03-21 13:22:55,,"Carrer Bòbiles, 39, 08905 Hospitalet De Llobregat ( L'), Barcelona",1888,Escoles,14130
Escola Arrels,0.00 EUR,Lost,Proposal Accepted,2017-11-06 12:06:15,2017-03-05 16:50:11,,"Carrer del Cardenal Tedeschini, 76-80, 08027 Barcelona",,Escoles,14110
Col·legi Cultural,150.00 EUR,Lost,Proposal Presented,2017-10-25 17:16:54,2017-03-05 16:50:15,,"Carrer de les Termes Romanes, 10, 08911 Badalona, Barcelona, Spain",,Escoles,14120
Escola Canigó St. Just,900.00 EUR,Won,Proposal Accepted,2017-05-10 09:08:56,2017-03-05 16:50:17,,"c. Canigó, 35 08960 Sant Just Desvern",,Escoles,14130
ESCOLA FANALS D'ARO,"1,083.92 EUR",Won,Proposal Presented,2017-11-03 12:51:19,2017-03-05 16:50:19,,"Carrer de Josep Maria Vila, 7, 17250 Platja d'Aro, Girona",,Escoles,14110
Institut Milà i Fontanals Vilafranca del Penedès,0.00 EUR,Lost,Contact Made,2018-01-12 13:28:37,2017-05-12 16:31:46,,,,Escoles,14110
INSTITUT EGARA,"1,710.00 EUR",Lost,Proposal Presented,2017-07-04 17:36:58,2017-03-05 16:50:43,,"Carrer d'Amèrica, 55, 08228 Terrassa, Barcelona, Spain",,Escoles,14110
ENGLISH ACADEMY SANTA CLAUS,0.00 EUR,Lost,Meeting organized,2018-01-15 17:37:53,2017-05-14 10:44:52,,,,Escoles,14110
Escola Marinada,285.00 EUR,Lost,Meeting organized,2017-10-02 17:31:24,2017-03-05 16:50:24,,"Passeig de la Carrerada, 58-60, Palau-solità i Plegamans, Spain",,Escoles,14110
Escola Rosa Sensat,"1,710.00 EUR",Lost,Proposal Presented,2017-05-04 14:13:28,2017-03-24 12:56:50,,"Plaça Ramon i Cajal, 11, 08320 El Masnou, Barcelona, Spain",,Escoles,14110
Institut Vallbona d'Anoia,0.00 EUR,Lost,Meeting organized,2017-09-26 17:23:20,2017-05-25 09:32:50,,,,Escoles,14110
Institut de Premià de Mar,"1,464.84 EUR",Lost,Proposal Presented,2017-10-16 11:17:12,2017-03-05 16:50:32,,"Carrer Rafael de Casanova, Premià de Mar, Spain",,Escoles,14110
INSTITUT Joaquim Rubió i Ors,"1,625.00 EUR",Lost,Proposal Presented,2017-10-04 11:07:20,2017-03-05 16:50:51,,C/ Pau Claris  4 – 08830 Sant Boi de Llobregat,,Escoles,14110
Col·legi Montserrat de Badalona,0.00 EUR,Lost,Meeting organized,2018-01-31 17:14:01,2017-07-04 17:21:06,,,,Escoles,14110
Colegio Montegrande A Coruña,0.00 EUR,Lost,Proposal Presented,2018-02-12 10:08:39,2018-01-26 11:52:46,,,,Escoles,14110
INSTITUT BARCELONA-CONGRÉS,"1,525.00 EUR",Won,Proposal Presented,2017-05-04 13:49:10,2017-03-05 16:51:05,,"Carrer del Baró d'Esponellà, 1-15, 08031 Barcelona, Spain",,Escoles,14110
Anne Sullivan International School Barcelona,0.00 EUR,Lost,Meeting organized,2018-08-24 13:26:25,2018-02-16 17:27:31,,,,Escoles,14110
Escola Andersen,"1,523.72 EUR",Won,Proposal Presented,2017-03-17 09:58:15,2017-03-08 08:45:59,,"Carrer de Pérez Galdós, 15, Terrassa, Spain",,Escoles,14110
INSTITUT Joan Amigó i Callau,"1,368.00 EUR",Lost,Proposal Accepted,2017-07-04 13:56:38,2017-03-05 16:50:50,,"C. Serè, 10 43440 L'Espluga de Francolí",,Escoles,14110
ESCOLA MARE DE DÉU DEL PILAR,"1,113.22 EUR",Won,Proposal Presented,2017-04-06 15:32:57,2017-03-21 12:18:20,,"Carrer de Sant Joan, 62, 08243 Manresa, Barcelona, Spain",879,Escoles,14110
Col·legi Sant Ramon Nonat - Sagrat Cor,"1,083.92 EUR",Lost,Proposal Accepted,2017-10-27 15:37:11,2017-07-10 08:01:34,,"Calle Collblanc, 86, 08028 Barcelona",,Escoles,14110
INSTITUT LA MIQUELA,150.00 EUR,Lost,Proposal Accepted,2017-07-12 20:49:12,2017-03-05 16:50:53,,"Carrer Salvador Dalí, 1,17162 Bescanó, Girona",,Escoles,14120
Colegio Cervantes Tenerife,0.00 EUR,Lost,New Leads,2018-03-13 22:14:50,2018-03-07 09:25:34,,,,Escoles,14110
INSTITUT Salvador Espriu,"1,063.93 EUR",Lost,Proposal Presented,2017-06-29 10:55:25,2017-03-05 16:50:58,,"Plaça de les Glòries Catalanes, 20, 08018 Barcelona, Spain",,Escoles,14110
AMPA SAGRADA FAMILIA DE SABADELL,"1,060.00 EUR",Lost,Proposal Accepted,2017-06-29 16:34:41,2017-04-28 10:17:26,,"C/ DE LA INDUSTRIA, 9, SABADELL",6,Escoles,14130
INSTITUT Vall d'Arús,"1,796.00 EUR",Lost,Proposal Presented,2018-04-10 17:24:43,2017-03-05 16:51:02,,"Carrer Mestres Esque i Arto, 2, 08759 Vallirana, Barcelona, Spain",,Escoles,14110
Apa Colegio Nuestra Señora del Carmen,0.00 EUR,Lost,Contact Made,2018-05-03 12:09:08,2018-04-25 09:56:50,,,,Escoles,14110
INSTITUT Miquel Martí i Pol,"1,020.00 EUR",Lost,Proposal Presented,2017-11-30 13:40:59,2017-03-05 16:51:01,,"Verge de Montserrat, 51 08940 Cornellà de Llobregat",,Escoles,14110
Institut Can Mas,0.00 EUR,Lost,Meeting organized,2017-09-19 09:52:50,2017-03-05 16:51:08,,"Carrer Pau Casals, 102-104, Ripollet, Spain",,Escoles,14110
Institut Quercus,0.00 EUR,Lost,Contact Made,2018-01-15 17:42:12,2017-03-05 16:50:38,,,,Escoles,14120
Escola San Joan Despi,0.00 EUR,Lost,New Leads,2017-06-06 08:45:25,2017-03-15 13:16:10,,,,Escoles,14130
FUNDACIO VEDRUNA SANT BOI,949.93 EUR,Won,Proposal Presented,2017-04-10 09:37:27,2017-04-05 14:11:06,,"C/ LUIS CASTELLS, 20, SANT BOI DE LLOBREGAT",550,Escoles,14110
British School of Barcelona Sitges,900.00 EUR,Lost,Contact Made,2017-09-06 16:24:51,2017-03-07 16:37:46,,"The British School of Barcelona Sitges, Passeig Isaac Albéniz, Sitges, Spain",670,Escoles,14120
ESCOLA HAMELIN,0.00 EUR,Lost,New Leads,2018-08-24 14:00:08,2017-05-14 10:44:40,,,,Escoles,14130
Institut Joaquima Pla i Farreras,0.00 EUR,Lost,Contact Made,2017-11-20 08:40:34,2017-03-05 16:51:24,,"Avinguda de Ragull, 45, 08173 Sant Cugat del Vallès, Barcelona, Spain",,Escoles,14110
OAK HOUSE SCHOOL,0.00 EUR,Lost,New Leads,2017-07-17 12:21:52,2017-05-14 10:44:41,,,,Escoles,14130
INSTITUT PAU VILA,300.00 EUR,Lost,Proposal Presented,2017-11-23 09:14:55,2017-03-05 16:51:30,,"Carrer de Viladomat, 118, 08205 Sabadell, Barcelona",,Escoles,14130
KENSINGTON SCHOOL,0.00 EUR,Lost,New Leads,2018-08-24 14:00:08,2017-05-14 10:44:42,,,,Escoles,14130
ÉCOLE FRANÇAISE FERDINAND DE LESSEPS,0.00 EUR,Lost,New Leads,2018-08-21 10:20:50,2017-05-14 10:44:42,,,,Escoles,14130
ZURICH SCHULE,0.00 EUR,Lost,New Leads,2018-08-21 10:20:44,2017-05-14 10:44:42,,,,Escoles,14130
AULA ESCOLA EUROPEA,0.00 EUR,Lost,New Leads,2018-08-21 10:20:40,2017-05-14 10:44:43,,,,Escoles,14130
ISCAT - THE INTERNATIONAL SCHOOL OF CATALUNYA,0.00 EUR,Lost,New Leads,2018-08-21 10:20:31,2017-05-14 10:44:44,,,,Escoles,14130
EUROPA INTERNATIONAL SCHOOL,0.00 EUR,Lost,New Leads,2018-08-21 10:20:28,2017-05-14 10:44:44,,,,Escoles,14130
COL·LEGI MONTESSORI-PALAU,0.00 EUR,Lost,New Leads,2018-08-21 10:20:19,2017-05-14 10:44:46,,,,Escoles,14130
CFR - COLLÈGE FRANÇAIS DE REUS,0.00 EUR,Lost,New Leads,2018-08-21 10:19:54,2017-05-14 10:44:46,,,,Escoles,14130
Taller Ginebró,0.00 EUR,Lost,New Leads,2017-11-20 17:33:36,2017-03-05 16:51:39,,"Av. de Jaume Campmajor, 08440 Cardedeu, Barcelona, Spain",,Escoles,14130
SANTA CLARA - INTERNATIONAL COLLEGE,0.00 EUR,Lost,New Leads,2018-08-21 10:19:45,2017-05-14 10:44:52,,,,Escoles,14130
COLEGIO JAPONÉS DE BARCELONA,0.00 EUR,Lost,New Leads,2018-08-21 10:19:38,2017-05-14 10:44:53,,,,Escoles,14130
ÉCOLE FRANÇAISE BEL AIR,0.00 EUR,Lost,New Leads,2018-08-21 10:19:35,2017-05-14 10:44:54,,,,Escoles,14130
RICHMOND INTERNATIONAL SCHOOL,0.00 EUR,Lost,New Leads,2018-08-21 10:19:30,2017-05-14 10:44:54,,,,Escoles,14130
ESCUELA MONTESSORI FIGUERES,0.00 EUR,Lost,New Leads,2018-08-21 10:19:25,2017-05-14 10:44:55,,,,Escoles,14130
SAINT PAULS SCHOOL,0.00 EUR,Lost,New Leads,2018-08-21 10:19:20,2017-05-14 10:44:55,,,,Escoles,14130
ESCOLA VEDRUNA VALL,0.00 EUR,Lost,Meeting organized,2018-08-21 10:25:25,2018-04-09 17:13:01,,,,Escoles,14130
Ateneu del Clot,351.48 EUR,Won,Proposal Presented,2017-04-03 10:46:06,2017-03-05 16:51:48,,"Ateneu del Clot, Carrer de la Muntanya, Barcelona, Spain",,Escoles,14110
CIPFP MISLATA,896.69 EUR,Lost,Proposal Accepted,2017-07-21 14:56:41,2017-03-27 12:56:41,,"C/.Dolores Ibarruri, 32 CP 46920 MISLATA (Valencia)",,Escoles,14110
INS LA RIBERA,525.00 EUR,Lost,Proposal Accepted,2017-11-02 09:00:14,2017-03-05 16:51:54,,"Carrer Larramendi, 08110 Montcada i Reixac, Barcelona, Spain",,Escoles,14130
Escola Pere Calders,815.04 EUR,Won,Proposal Accepted,2017-06-01 11:55:30,2017-03-06 13:25:45,,"Passeig de Sanllehy, 50, Polinyà, Spain",,Escoles,14110
INSTITUT JOSEP PLA,0.00 EUR,Lost,Contact Made,2018-01-15 17:35:19,2017-03-06 16:01:01,,"Carrer de la Vall d'Ordesa, 24-34, Barcelona, Spain",,Escoles,14130
Fundación Domus,0.00 EUR,Lost,Meeting organized,2018-01-15 17:38:34,2017-03-07 17:01:27,,"Carrer Rocafort, 2, Godella, Spain",,Escoles,14110
Escola Virolet,876.00 EUR,Won,Proposal Accepted,2017-09-15 15:42:12,2017-09-13 15:36:24,,"Carrer de Viena, 1, 08206 Sabadell, Barcelona",,Escoles,14110
Col·legi Pompeu Fabra,0.00 EUR,Lost,Contact Made,2017-11-13 17:25:36,2017-03-08 11:11:56,,"Escola Pompeu Fabra, Carrer de Santa Caterina, Sant Adrià de Besòs, Spain",,Escoles,14130
Mas Camarena,0.00 EUR,Lost,Meeting organized,2017-11-10 16:49:52,2017-03-08 12:01:40,,"Complejo Educativo Bilingüe Mas Camarena, Sector Esmeralda V Mas Camarena, Bétera, Spain",,Escoles,14110
Colegio Jules Verne,0.00 EUR,Lost,Meeting organized,2017-11-24 13:03:45,2017-03-10 12:33:10,,"Julio Verne School, Torrent, Spain",,Escoles,14110
ESCOLA EL CARME-VEDRUNA MANLLEU,"1,822.50 EUR",Won,Proposal Presented,2017-09-06 13:33:45,2017-03-16 10:32:41,,"El Carme Vedruna Manlleu, Carrer Bisbe Morgades, Manlleu, Spain",,Escoles,14110
Thau Sant Cugat,850.00 EUR,Won,Proposal Presented,2017-07-12 16:29:07,2017-04-28 10:17:58,,"Escola Thau Sant Cugat, Avinguda de la Generalitat, Sant Cugat del Vallès, Spain",,Escoles,14130
Instituto San Telmo,412.22 EUR,Won,Proposal Presented,2017-05-12 15:24:44,2017-03-17 09:14:09,,"Instituto de Educación Secundaria Ies San Telmo, Calle Cuesta de San Telmo, Jerez, Spain",,Escoles,14110
Colegio Abaco,820.26 EUR,Won,Proposal Presented,2018-01-15 18:50:00,2017-11-29 10:04:51,,"Avenida de la Peseta, 8, Madrid, Spain",,Escoles,14110
Jacint Verdaguer (Pallejà),815.05 EUR,Lost,Proposal Presented,2017-11-27 12:00:25,2017-07-03 12:31:48,,"Carrer Ramon Llull, 1, 08780 Pallejà, Barcelona, Espanya",,Escoles,14110
Sant Josep Sant Boi,"2,188.94 EUR",Won,Proposal Accepted,2017-09-04 09:19:55,2017-03-24 10:22:27,,"Col·legi Sant Josep, Avinguda Can Carreras, Sant Boi de Llobregat, Spain",,Escoles,14110
Escoles Griselda SCCL,815.05 EUR,Lost,Proposal Presented,2017-09-04 09:35:15,2017-07-11 15:14:38,,"Carrer del Parlament, 30, 08015 Barcelona, Espanya",,Escoles,14110
ESCOLA MARE DE DÉU DEL PILAR,810.29 EUR,Won,Proposal Presented,2017-04-18 12:19:35,2017-04-06 17:36:11,,"Carrer de Sant Joan, 62, 08243 Manresa, Barcelona, Spain",879,Escoles,14110
IPSE,800.00 EUR,Lost,Proposal Presented,2017-07-05 10:31:25,2017-04-28 10:18:17,,"Escola IPSE, Carrer de Casanova, Barcelona, Spain",,Escoles,14130
American School of Barcelona,750.00 EUR,Lost,Proposal Presented,2017-06-22 18:05:38,2017-03-24 17:38:48,,"American School of Barcelona, Carrer de Jaume Balmes, Esplugues de Llobregat, Spain",,Escoles,14130
Vedruna Manresa,0.00 EUR,Lost,Meeting organized,2017-11-24 13:05:46,2017-03-30 13:10:31,,"Vedruna Manresa, Manresa, Spain",,Escoles,14110
Carmelites Tarragona,800.00 EUR,Lost,Proposal Presented,2017-05-05 09:53:46,2017-03-30 15:29:27,,"Col·legi Mare de Déu del Carme, Avinguda d'Estanislau Figueres, Tarragona, Spain",,Escoles,14110
IPSE,185.00 EUR,Won,Proposal Presented,2017-04-06 08:42:12,2017-03-30 16:23:29,,"Escola IPSE, Carrer de Casanova, Barcelona, Spain",,Escoles,14130
Escola Pérez Iborra,"68,000.00 EUR",Won,Proposal Accepted,2017-07-17 10:10:14,2017-03-30 23:17:35,,"Escola Pérez Iborra, Carrer del Consell de Cent, Barcelona, Spain",,Escoles,14130
Fundació Vedruna (Central),"1,335.00 EUR",Won,Proposal Presented,2017-06-27 17:37:14,2017-04-03 10:08:49,,"Carrer del Bisbe Torras i Bages, 7-9, Vic, Spain",,Escoles,14120
Institut Pere Barnils,747.85 EUR,Lost,Proposal Accepted,2017-09-26 08:23:59,2017-03-05 16:50:37,,"Avinguda de Pere Barnils, 08540 Centelles, Barcelona",,Escoles,14110
Escola Ítaca,300.00 EUR,Lost,Meeting organized,2018-01-15 17:37:41,2017-04-19 09:05:33,,"Escola Ítaca, Carrer de Numància, Barcelona, Spain",,Escoles,14110
Escola Mil·lenari,200.00 EUR,Lost,Contact Made,2018-01-11 09:00:04,2017-04-21 10:57:55,,"Escola Mil·lenari, Carrer de la Mare de Déu del Pilar, Cardedeu, Spain",,Escoles,14120
Institut de Mollerussa,"8,100.00 EUR",Lost,Proposal Presented,2017-07-12 13:31:54,2017-04-27 12:40:34,,"Institut Públic Mollerussa, Mollerussa, Spain",,Escoles,14110
INSTITUT GALLECS,732.43 EUR,Won,Proposal Accepted,2017-06-29 12:49:50,2017-03-05 16:51:18,,"Passeig de Cesc Bas, 5, 08100 Mollet del Vallés, Barcelona",,Escoles,14110
FEDAC Montcada,689.51 EUR,Won,Proposal Presented,2017-03-22 17:02:31,2017-03-22 17:01:43,,"Fedac Montcada, Carrer Major, Montcada i Reixac, Spain",,Escoles,14110
